"State","Factory Type","Factory Name","City","Factory ID"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0350"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0351"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0352"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0353"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0354"
"Kerala","Oil Mill","Kochi Oil Agro Works","Kochi","KL0355"
"Andhra Pradesh","Cold Storage","Guntur Cold Agencies","Guntur","AP0356"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0357"
"Maharashtra","Flour Mill","Pune Flour Products","Pune","MH0358"
"Gujarat","Spice Processing","Bhavnagar Spice FarmTech","Bhavnagar","GJ0359"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0360"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0361"
"Uttar Pradesh","Sugar Mill","Varanasi Sugar Processors","Varanasi","UP0362"
"Rajasthan","Food Processing","Udaipur Food Enterprises","Udaipur","RJ0363"
"Madhya Pradesh","Dairy Plant","Gwalior Dairy Foods","Gwalior","MP0364"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0365"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0366"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0367"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0368"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0369"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0370"
"Kerala","Rice Mill","Kannur Rice Industries","Kannur","KL0371"
"Andhra Pradesh","Sugar Mill","Tirupati Sugar Processors","Tirupati","AP0372"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0373"
"Maharashtra","Dairy Plant","Nashik Dairy Foods","Nashik","MH0374"
"Gujarat","Oil Mill","Rajkot Oil Agro Works","Rajkot","GJ0375"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0376"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0377"
"Uttar Pradesh","Flour Mill","Gorakhpur Flour Products","Gorakhpur","UP0378"
"Rajasthan","Spice Processing","Jaipur Spice FarmTech","Jaipur","RJ0379"
"Madhya Pradesh","Fruit Processing","Bhopal Fruit Agri Unit","Bhopal","MP0380"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0381"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0382"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0383"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0384"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0385"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0386"
"Kerala","Agro Processing","Kozhikode Agro Mills","Kozhikode","KL0387"
"Andhra Pradesh","Flour Mill","Nellore Flour Products","Nellore","AP0388"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0389"
"Maharashtra","Fruit Processing","Aurangabad Fruit Agri Unit","Aurangabad","MH0390"
"Gujarat","Rice Mill","Ahmedabad Rice Industries","Ahmedabad","GJ0391"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0392"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0393"
"Uttar Pradesh","Dairy Plant","Lucknow Dairy Foods","Lucknow","UP0394"
"Rajasthan","Oil Mill","Bikaner Oil Agro Works","Bikaner","RJ0395"
"Madhya Pradesh","Cold Storage","Sagar Cold Agencies","Sagar","MP0396"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0397"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0398"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0399"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0400"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0401"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0402"
"Kerala","Food Processing","Kochi Food Enterprises","Kochi","KL0403"
"Andhra Pradesh","Dairy Plant","Guntur Dairy Foods","Guntur","AP0404"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0405"
"Maharashtra","Cold Storage","Amravati Cold Agencies","Amravati","MH0406"
"Gujarat","Agro Processing","Bhavnagar Agro Mills","Bhavnagar","GJ0407"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0408"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0409"
"Uttar Pradesh","Fruit Processing","Meerut Fruit Agri Unit","Meerut","UP0410"
"Rajasthan","Rice Mill","Udaipur Rice Industries","Udaipur","RJ0411"
"Madhya Pradesh","Sugar Mill","Gwalior Sugar Processors","Gwalior","MP0412"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0413"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0414"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0415"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0416"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0417"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0418"
"Kerala","Spice Processing","Kannur Spice FarmTech","Kannur","KL0419"
"Andhra Pradesh","Fruit Processing","Tirupati Fruit Agri Unit","Tirupati","AP0420"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0421"
"Maharashtra","Sugar Mill","Nagpur Sugar Processors","Nagpur","MH0422"
"Gujarat","Food Processing","Rajkot Food Enterprises","Rajkot","GJ0423"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0424"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0425"
"Uttar Pradesh","Cold Storage","Bareilly Cold Agencies","Bareilly","UP0426"
"Rajasthan","Agro Processing","Jaipur Agro Mills","Jaipur","RJ0427"
"Madhya Pradesh","Flour Mill","Bhopal Flour Products","Bhopal","MP0428"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0429"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0430"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0431"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0432"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0433"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0434"
"Kerala","Oil Mill","Kozhikode Oil Agro Works","Kozhikode","KL0435"
"Andhra Pradesh","Cold Storage","Nellore Cold Agencies","Nellore","AP0436"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0437"
"Maharashtra","Flour Mill","Kolhapur Flour Products","Kolhapur","MH0438"
"Gujarat","Spice Processing","Ahmedabad Spice FarmTech","Ahmedabad","GJ0439"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0440"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0441"
"Uttar Pradesh","Sugar Mill","Kanpur Sugar Processors","Kanpur","UP0442"
"Rajasthan","Food Processing","Bikaner Food Enterprises","Bikaner","RJ0443"
"Madhya Pradesh","Dairy Plant","Sagar Dairy Foods","Sagar","MP0444"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0445"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0446"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0447"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0448"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0449"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0450"
"Kerala","Rice Mill","Kochi Rice Industries","Kochi","KL0451"
"Andhra Pradesh","Sugar Mill","Guntur Sugar Processors","Guntur","AP0452"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0453"
"Maharashtra","Dairy Plant","Solapur Dairy Foods","Solapur","MH0454"
"Gujarat","Oil Mill","Bhavnagar Oil Agro Works","Bhavnagar","GJ0455"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0456"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0457"
"Uttar Pradesh","Flour Mill","Agra Flour Products","Agra","UP0458"
"Rajasthan","Spice Processing","Udaipur Spice FarmTech","Udaipur","RJ0459"
"Madhya Pradesh","Fruit Processing","Gwalior Fruit Agri Unit","Gwalior","MP0460"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0461"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0462"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0463"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0464"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0465"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0466"
"Kerala","Agro Processing","Kannur Agro Mills","Kannur","KL0467"
"Andhra Pradesh","Flour Mill","Tirupati Flour Products","Tirupati","AP0468"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0469"
"Maharashtra","Fruit Processing","Pune Fruit Agri Unit","Pune","MH0470"
"Gujarat","Rice Mill","Rajkot Rice Industries","Rajkot","GJ0471"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0472"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0473"
"Uttar Pradesh","Dairy Plant","Varanasi Dairy Foods","Varanasi","UP0474"
"Rajasthan","Oil Mill","Jaipur Oil Agro Works","Jaipur","RJ0475"
"Madhya Pradesh","Cold Storage","Bhopal Cold Agencies","Bhopal","MP0476"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0477"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0478"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0479"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0480"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0481"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0482"
"Kerala","Food Processing","Kozhikode Food Enterprises","Kozhikode","KL0483"
"Andhra Pradesh","Dairy Plant","Nellore Dairy Foods","Nellore","AP0484"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0485"
"Maharashtra","Cold Storage","Nashik Cold Agencies","Nashik","MH0486"
"Gujarat","Agro Processing","Ahmedabad Agro Mills","Ahmedabad","GJ0487"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0488"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0489"
"Uttar Pradesh","Fruit Processing","Gorakhpur Fruit Agri Unit","Gorakhpur","UP0490"
"Rajasthan","Rice Mill","Bikaner Rice Industries","Bikaner","RJ0491"
"Madhya Pradesh","Sugar Mill","Sagar Sugar Processors","Sagar","MP0492"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0493"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0494"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0495"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0496"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0497"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0498"
"Kerala","Spice Processing","Kochi Spice FarmTech","Kochi","KL0499"
"Andhra Pradesh","Fruit Processing","Guntur Fruit Agri Unit","Guntur","AP0500"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0501"
"Maharashtra","Sugar Mill","Aurangabad Sugar Processors","Aurangabad","MH0502"
"Gujarat","Food Processing","Bhavnagar Food Enterprises","Bhavnagar","GJ0503"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0504"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0505"
"Uttar Pradesh","Cold Storage","Lucknow Cold Agencies","Lucknow","UP0506"
"Rajasthan","Agro Processing","Udaipur Agro Mills","Udaipur","RJ0507"
"Madhya Pradesh","Flour Mill","Gwalior Flour Products","Gwalior","MP0508"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0509"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0510"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0511"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0512"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0513"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0514"
"Kerala","Oil Mill","Kannur Oil Agro Works","Kannur","KL0515"
"Andhra Pradesh","Cold Storage","Tirupati Cold Agencies","Tirupati","AP0516"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0517"
"Maharashtra","Flour Mill","Amravati Flour Products","Amravati","MH0518"
"Gujarat","Spice Processing","Rajkot Spice FarmTech","Rajkot","GJ0519"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0520"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0521"
"Uttar Pradesh","Sugar Mill","Meerut Sugar Processors","Meerut","UP0522"
"Rajasthan","Food Processing","Jaipur Food Enterprises","Jaipur","RJ0523"
"Madhya Pradesh","Dairy Plant","Bhopal Dairy Foods","Bhopal","MP0524"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0525"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0526"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0527"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0528"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0529"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0530"
"Kerala","Rice Mill","Kozhikode Rice Industries","Kozhikode","KL0531"
"Andhra Pradesh","Sugar Mill","Nellore Sugar Processors","Nellore","AP0532"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0533"
"Maharashtra","Dairy Plant","Nagpur Dairy Foods","Nagpur","MH0534"
"Gujarat","Oil Mill","Ahmedabad Oil Agro Works","Ahmedabad","GJ0535"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0536"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0537"
"Uttar Pradesh","Flour Mill","Bareilly Flour Products","Bareilly","UP0538"
"Rajasthan","Spice Processing","Bikaner Spice FarmTech","Bikaner","RJ0539"
"Madhya Pradesh","Fruit Processing","Sagar Fruit Agri Unit","Sagar","MP0540"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0541"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0542"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0543"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0544"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0545"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0546"
"Kerala","Agro Processing","Kochi Agro Mills","Kochi","KL0547"
"Andhra Pradesh","Flour Mill","Guntur Flour Products","Guntur","AP0548"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0549"
"Maharashtra","Fruit Processing","Kolhapur Fruit Agri Unit","Kolhapur","MH0550"
"Gujarat","Rice Mill","Bhavnagar Rice Industries","Bhavnagar","GJ0551"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0552"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0553"
"Uttar Pradesh","Dairy Plant","Kanpur Dairy Foods","Kanpur","UP0554"
"Rajasthan","Oil Mill","Udaipur Oil Agro Works","Udaipur","RJ0555"
"Madhya Pradesh","Cold Storage","Gwalior Cold Agencies","Gwalior","MP0556"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0557"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0558"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0559"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0560"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0561"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0562"
"Kerala","Food Processing","Kannur Food Enterprises","Kannur","KL0563"
"Andhra Pradesh","Dairy Plant","Tirupati Dairy Foods","Tirupati","AP0564"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0565"
"Maharashtra","Cold Storage","Solapur Cold Agencies","Solapur","MH0566"
"Gujarat","Agro Processing","Rajkot Agro Mills","Rajkot","GJ0567"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0568"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0569"
"Uttar Pradesh","Fruit Processing","Agra Fruit Agri Unit","Agra","UP0570"
"Rajasthan","Rice Mill","Jaipur Rice Industries","Jaipur","RJ0571"
"Madhya Pradesh","Sugar Mill","Bhopal Sugar Processors","Bhopal","MP0572"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0573"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0574"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0575"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0576"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0577"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0578"
"Kerala","Spice Processing","Kozhikode Spice FarmTech","Kozhikode","KL0579"
"Andhra Pradesh","Fruit Processing","Nellore Fruit Agri Unit","Nellore","AP0580"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0581"
"Maharashtra","Sugar Mill","Pune Sugar Processors","Pune","MH0582"
"Gujarat","Food Processing","Ahmedabad Food Enterprises","Ahmedabad","GJ0583"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0584"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0585"
"Uttar Pradesh","Cold Storage","Varanasi Cold Agencies","Varanasi","UP0586"
"Rajasthan","Agro Processing","Bikaner Agro Mills","Bikaner","RJ0587"
"Madhya Pradesh","Flour Mill","Sagar Flour Products","Sagar","MP0588"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0589"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0590"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0591"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0592"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0593"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0594"
"Kerala","Oil Mill","Kochi Oil Agro Works","Kochi","KL0595"
"Andhra Pradesh","Cold Storage","Guntur Cold Agencies","Guntur","AP0596"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0597"
"Maharashtra","Flour Mill","Nashik Flour Products","Nashik","MH0598"
"Gujarat","Spice Processing","Bhavnagar Spice FarmTech","Bhavnagar","GJ0599"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0600"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0601"
"Uttar Pradesh","Sugar Mill","Gorakhpur Sugar Processors","Gorakhpur","UP0602"
"Rajasthan","Food Processing","Udaipur Food Enterprises","Udaipur","RJ0603"
"Madhya Pradesh","Dairy Plant","Gwalior Dairy Foods","Gwalior","MP0604"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0605"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0606"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0607"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0608"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0609"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0610"
"Kerala","Rice Mill","Kannur Rice Industries","Kannur","KL0611"
"Andhra Pradesh","Sugar Mill","Tirupati Sugar Processors","Tirupati","AP0612"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0613"
"Maharashtra","Dairy Plant","Aurangabad Dairy Foods","Aurangabad","MH0614"
"Gujarat","Oil Mill","Rajkot Oil Agro Works","Rajkot","GJ0615"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0616"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0617"
"Uttar Pradesh","Flour Mill","Lucknow Flour Products","Lucknow","UP0618"
"Rajasthan","Spice Processing","Jaipur Spice FarmTech","Jaipur","RJ0619"
"Madhya Pradesh","Fruit Processing","Bhopal Fruit Agri Unit","Bhopal","MP0620"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0621"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0622"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0623"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0624"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0625"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0626"
"Kerala","Agro Processing","Kozhikode Agro Mills","Kozhikode","KL0627"
"Andhra Pradesh","Flour Mill","Nellore Flour Products","Nellore","AP0628"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0629"
"Maharashtra","Fruit Processing","Amravati Fruit Agri Unit","Amravati","MH0630"
"Gujarat","Rice Mill","Ahmedabad Rice Industries","Ahmedabad","GJ0631"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0632"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0633"
"Uttar Pradesh","Dairy Plant","Meerut Dairy Foods","Meerut","UP0634"
"Rajasthan","Oil Mill","Bikaner Oil Agro Works","Bikaner","RJ0635"
"Madhya Pradesh","Cold Storage","Sagar Cold Agencies","Sagar","MP0636"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0637"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0638"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0639"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0640"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0641"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0642"
"Kerala","Food Processing","Kochi Food Enterprises","Kochi","KL0643"
"Andhra Pradesh","Dairy Plant","Guntur Dairy Foods","Guntur","AP0644"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0645"
"Maharashtra","Cold Storage","Nagpur Cold Agencies","Nagpur","MH0646"
"Gujarat","Agro Processing","Bhavnagar Agro Mills","Bhavnagar","GJ0647"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0648"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0649"
"Uttar Pradesh","Fruit Processing","Bareilly Fruit Agri Unit","Bareilly","UP0650"
"Rajasthan","Rice Mill","Udaipur Rice Industries","Udaipur","RJ0651"
"Madhya Pradesh","Sugar Mill","Gwalior Sugar Processors","Gwalior","MP0652"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0653"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0654"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0655"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0656"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0657"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0658"
"Kerala","Spice Processing","Kannur Spice FarmTech","Kannur","KL0659"
"Andhra Pradesh","Fruit Processing","Tirupati Fruit Agri Unit","Tirupati","AP0660"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0661"
"Maharashtra","Sugar Mill","Kolhapur Sugar Processors","Kolhapur","MH0662"
"Gujarat","Food Processing","Rajkot Food Enterprises","Rajkot","GJ0663"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0664"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0665"
"Uttar Pradesh","Cold Storage","Kanpur Cold Agencies","Kanpur","UP0666"
"Rajasthan","Agro Processing","Jaipur Agro Mills","Jaipur","RJ0667"
"Madhya Pradesh","Flour Mill","Bhopal Flour Products","Bhopal","MP0668"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0669"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0670"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0671"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0672"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0673"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0674"
"Kerala","Oil Mill","Kozhikode Oil Agro Works","Kozhikode","KL0675"
"Andhra Pradesh","Cold Storage","Nellore Cold Agencies","Nellore","AP0676"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0677"
"Maharashtra","Flour Mill","Solapur Flour Products","Solapur","MH0678"
"Gujarat","Spice Processing","Ahmedabad Spice FarmTech","Ahmedabad","GJ0679"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0680"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0681"
"Uttar Pradesh","Sugar Mill","Agra Sugar Processors","Agra","UP0682"
"Rajasthan","Food Processing","Bikaner Food Enterprises","Bikaner","RJ0683"
"Madhya Pradesh","Dairy Plant","Sagar Dairy Foods","Sagar","MP0684"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0685"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0686"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0687"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0688"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0689"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0690"
"Kerala","Rice Mill","Kochi Rice Industries","Kochi","KL0691"
"Andhra Pradesh","Sugar Mill","Guntur Sugar Processors","Guntur","AP0692"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0693"
"Maharashtra","Dairy Plant","Pune Dairy Foods","Pune","MH0694"
"Gujarat","Oil Mill","Bhavnagar Oil Agro Works","Bhavnagar","GJ0695"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0696"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0697"
"Uttar Pradesh","Flour Mill","Varanasi Flour Products","Varanasi","UP0698"
